Feature,Score,P_value
Feature_19586,33.442997,8.205627e-09
Feature_19334,33.442715,8.206804e-09
Feature_19206,33.442715,8.206804e-09
Feature_19250,33.442543,8.207519e-09
Feature_19292,33.442425,8.208012e-09
Feature_19460,33.442165,8.209093e-09
Feature_19670,33.44205,8.20957e-09
Feature_19502,33.441574,8.211558e-09
Feature_19418,33.441498,8.211876e-09
Feature_19376,33.43988,8.218621e-09
Feature_19926,33.435295,8.237777e-09
Feature_20052,33.435055,8.238782e-09
Feature_19968,33.43478,8.2399305e-09
Feature_20010,33.434505,8.24108e-09
Feature_19842,33.433426,8.245598e-09
Feature_19716,33.433014,8.247323e-09
Feature_19438,33.432728,8.248521e-09
Feature_19800,33.432564,8.2492075e-09
Feature_19884,33.431934,8.2518445e-09
Feature_19758,33.430286,8.258751e-09
Feature_19632,33.42987,8.260495e-09
Feature_19396,33.4291,8.2637275e-09
Feature_19674,33.429077,8.263823e-09
Feature_19590,33.426224,8.275804e-09
Feature_19548,33.42512,8.280438e-09
Feature_19464,33.423496,8.287272e-09
Feature_19506,33.423313,8.288042e-09
Feature_19296,33.423275,8.288203e-09
Feature_19422,33.422974,8.289471e-09
Feature_19254,33.42297,8.289487e-09
Feature_19212,33.422787,8.290258e-09
Feature_19380,33.42272,8.290531e-09
Feature_19338,33.42108,8.297438e-09
Feature_19312,33.420414,8.300251e-09
Feature_19270,33.42026,8.300894e-09
Feature_19228,33.419617,8.303611e-09
Feature_19354,33.41855,8.308116e-09
Feature_20068,33.418545,8.308132e-09
Feature_19900,33.418507,8.308293e-09
Feature_19732,33.418415,8.308679e-09
Feature_20026,33.418247,8.309387e-09
Feature_19984,33.418236,8.309435e-09
Feature_19858,33.416687,8.315972e-09
Feature_19816,33.416546,8.316568e-09
Feature_19480,33.41631,8.317566e-09
Feature_19690,33.416283,8.317679e-09
Feature_19648,33.41617,8.318162e-09
Feature_19606,33.416134,8.318308e-09
Feature_19774,33.416023,8.318775e-09
Feature_19942,33.415695,8.320161e-09
Feature_19564,33.414803,8.323932e-09
Feature_19522,33.414047,8.327125e-09
Feature_20064,33.41379,8.328206e-09
Feature_19434,33.41349,8.329479e-09
Feature_19308,33.412212,8.334886e-09
Feature_19392,33.411003,8.340005e-09
Feature_19224,33.41069,8.341329e-09
Feature_19350,33.41067,8.34141e-09
Feature_19518,33.410133,8.343688e-09
Feature_19266,33.410065,8.34398e-09
Feature_20022,33.409946,8.344481e-09
Feature_19980,33.409557,8.346129e-09
Feature_19560,33.409397,8.346808e-09
Feature_19728,33.40922,8.347551e-09
Feature_19686,33.408997,8.348506e-09
Feature_19812,33.40886,8.349088e-09
Feature_19938,33.4079,8.3531475e-09
Feature_19476,33.407856,8.353341e-09
Feature_19896,33.40699,8.357015e-09
Feature_19602,33.40692,8.357306e-09
Feature_19770,33.40685,8.357614e-09
Feature_19854,33.40657,8.358795e-09
Feature_19644,33.40636,8.359686e-09
Feature_20028,33.385098,8.450425e-09
Feature_19314,33.38418,8.4543705e-09
Feature_20038,33.38406,8.454878e-09
Feature_20070,33.383804,8.4559755e-09
Feature_19356,33.383553,8.457056e-09
Feature_19398,33.383392,8.457744e-09
Feature_19482,33.383366,8.457859e-09
Feature_19608,33.38332,8.458056e-09
Feature_19230,33.38324,8.458399e-09
Feature_19440,33.382812,8.460234e-09
Feature_19944,33.382664,8.460874e-09
Feature_19734,33.38224,8.462693e-09
Feature_19692,33.38216,8.463037e-09
Feature_19650,33.382088,8.463348e-09
Feature_20024,33.381992,8.463759e-09
Feature_19996,33.38187,8.464283e-09
Feature_19954,33.381832,8.464447e-09
Feature_19986,33.38179,8.464627e-09
Feature_19272,33.38174,8.46484e-09
Feature_19436,33.381435,8.466152e-09
Feature_19912,33.381424,8.466201e-09
Feature_19352,33.381306,8.46671e-09
Feature_19524,33.381256,8.466923e-09
Feature_19688,33.381252,8.466939e-09
Feature_19772,33.381157,8.4673495e-09
Feature_19394,33.381,8.468022e-09
Feature_19566,33.38088,8.468547e-09
Feature_19856,33.38064,8.46958e-09
Feature_19818,33.380615,8.469678e-09
Feature_19730,33.380573,8.469859e-09
Feature_19870,33.380505,8.470154e-09
Feature_20066,33.380447,8.4704e-09
Feature_19982,33.379734,8.473469e-09
Feature_19226,33.37947,8.4746015e-09
Feature_19310,33.379436,8.474749e-09
Feature_19902,33.3793,8.4753395e-09
Feature_19478,33.379265,8.475488e-09
Feature_19268,33.379208,8.475734e-09
Feature_19776,33.379086,8.476259e-09
Feature_19860,33.379036,8.476473e-09
Feature_19940,33.37891,8.477015e-09
Feature_19562,33.378857,8.477245e-09
Feature_19604,33.378765,8.477638e-09
Feature_19646,33.378677,8.478016e-09
Feature_19898,33.378418,8.479133e-09
Feature_19828,33.377975,8.481038e-09
Feature_19520,33.3779,8.481367e-09
Feature_19814,33.377098,8.484817e-09
Feature_19786,33.37617,8.488811e-09
Feature_19702,33.3748,8.494716e-09
Feature_19744,33.373867,8.498748e-09
Feature_19660,33.373413,8.500707e-09
Feature_19958,33.373116,8.501991e-09
Feature_20042,33.373043,8.502305e-09
Feature_19618,33.372887,8.50298e-09
Feature_19916,33.372665,8.5039344e-09
Feature_20000,33.372105,8.5063565e-09
Feature_19492,33.37191,8.507197e-09
Feature_19408,33.37149,8.5090095e-09
Feature_19282,33.37125,8.510048e-09
Feature_19450,33.369896,8.515901e-09
Feature_19534,33.36988,8.5159675e-09
Feature_19198,33.369854,8.516083e-09
Feature_19366,33.369514,8.517551e-09
Feature_19240,33.369392,8.518079e-09
Feature_19874,33.36922,8.518821e-09
Feature_19832,33.369057,8.519531e-09
Feature_19572,33.368965,8.519927e-09
Feature_19576,33.36859,8.521544e-09
Feature_19304,33.36763,8.525705e-09
Feature_19324,33.367535,8.526118e-09
Feature_19430,33.36748,8.5263485e-09
Feature_19388,33.36732,8.527042e-09
Feature_19472,33.36723,8.527438e-09
Feature_19514,33.367153,8.527769e-09
Feature_19530,33.36713,8.527868e-09
Feature_19614,33.366932,8.528727e-09
Feature_19656,33.36692,8.528777e-09
Feature_19790,33.366776,8.529404e-09
Feature_19346,33.3667,8.529734e-09
Feature_20034,33.36669,8.529768e-09
Feature_19598,33.36666,8.5298995e-09
Feature_20060,33.36663,8.530032e-09
Feature_19446,33.366592,8.530197e-09
