Feature,Score,P_value
Feature_22675,16.011158,6.4709966e-05
Feature_21323,16.011143,6.471048e-05
Feature_22247,16.011103,6.471184e-05
Feature_21393,16.011084,6.471249e-05
Feature_22171,16.011068,6.471301e-05
Feature_21353,16.01088,6.4719425e-05
Feature_21789,16.010782,6.472273e-05
Feature_21561,16.010624,6.4728105e-05
Feature_21873,16.010555,6.473044e-05
Feature_22087,16.010515,6.47318e-05
Feature_22041,16.010487,6.4732776e-05
Feature_21435,16.010412,6.47353e-05
Feature_22125,16.010397,6.4735825e-05
Feature_22359,16.010294,6.4739324e-05
Feature_22339,16.010294,6.4739324e-05
Feature_22209,16.010191,6.4742824e-05
Feature_2211,16.010056,6.474742e-05
Feature_21995,16.010006,6.474911e-05
Feature_22423,16.009802,6.475605e-05
Feature_21455,16.0098,6.475611e-05
Feature_22045,16.00975,6.47578e-05
Feature_22587,16.009727,6.475858e-05
Feature_21751,16.009712,6.475909e-05
Feature_22377,16.009632,6.476182e-05
Feature_22107,16.009565,6.476409e-05
Feature_22569,16.008877,6.4787506e-05
Feature_22527,16.008856,6.478822e-05
Feature_22167,16.008589,6.47973e-05
Feature_22335,16.008562,6.479821e-05
Feature_21269,16.008553,6.4798536e-05
Feature_22233,16.008295,6.48073e-05
Feature_21663,16.008198,6.48106e-05
Feature_21365,16.007935,6.481956e-05
Feature_21897,16.007896,6.482086e-05
Feature_21915,16.007874,6.482164e-05
Feature_21205,16.007856,6.482222e-05
Feature_22419,16.007849,6.482248e-05
Feature_22149,16.007753,6.482573e-05
Feature_21793,16.007555,6.483248e-05
Feature_21037,16.007526,6.4833446e-05
Feature_22065,16.00751,6.4834036e-05
Feature_21519,16.007425,6.483689e-05
Feature_21309,16.00741,6.483741e-05
Feature_21537,16.007381,6.483839e-05
Feature_21373,16.00723,6.4843516e-05
Feature_21645,16.007113,6.484754e-05
Feature_21495,16.007036,6.485014e-05
Feature_21981,16.006985,6.485189e-05
Feature_21285,16.00688,6.485546e-05
Feature_21621,16.006872,6.485572e-05
Feature_21579,16.006798,6.485825e-05
Feature_21729,16.006632,6.48639e-05
Feature_21493,16.00661,6.486462e-05
Feature_21497,16.006569,6.486605e-05
Feature_21709,16.006456,6.486988e-05
Feature_21411,16.006336,6.487397e-05
Feature_20933,16.005642,6.489762e-05
Feature_21243,16.005411,6.4905485e-05
Feature_21687,16.005344,6.490776e-05
Feature_22485,16.005081,6.491673e-05
Feature_21369,16.004894,6.49231e-05
Feature_21327,16.004652,6.493136e-05
Feature_21201,16.004635,6.493194e-05
Feature_22275,16.004631,6.493207e-05
Feature_21117,16.004486,6.493701e-05
Feature_21705,16.004454,6.493812e-05
Feature_20949,16.004286,6.494384e-05
Feature_21855,16.00425,6.4945074e-05
Feature_22023,16.0041,6.4950145e-05
Feature_21159,16.004057,6.4951644e-05
Feature_22401,16.00402,6.495288e-05
Feature_21771,16.003916,6.495646e-05
Feature_21747,16.00391,6.495665e-05
Feature_21813,16.003836,6.495919e-05
Feature_22611,16.003351,6.497571e-05
Feature_21033,16.003323,6.497669e-05
Feature_21185,16.003311,6.497708e-05
Feature_21939,16.003248,6.497923e-05
Feature_20991,16.002436,6.500695e-05
Feature_21075,16.00203,6.502082e-05
Feature_22317,16.001404,6.504218e-05
Feature_21453,15.998092,6.515537e-05
Feature_20975,15.996844,6.519805e-05
Feature_18909,15.996245,6.5218555e-05
Feature_21223,15.995734,6.523606e-05
Feature_21265,15.995567,6.524178e-05
Feature_21143,15.993428,6.5315086e-05
Feature_21281,15.992829,6.5335626e-05
Feature_21563,15.991808,6.5370674e-05
Feature_21647,15.990904,6.5401706e-05
Feature_21017,15.990785,6.54058e-05
Feature_18825,15.989989,6.5433116e-05
Feature_21605,15.989476,6.5450746e-05
Feature_21437,15.988664,6.547867e-05
Feature_21059,15.987672,6.551277e-05
Feature_21061,15.98716,6.5530396e-05
Feature_21395,15.985631,6.558301e-05
Feature_21521,15.985615,6.558357e-05
Feature_21941,15.98529,6.5594766e-05
Feature_21857,15.985243,6.5596374e-05
Feature_21101,15.985133,6.560015e-05
Feature_21187,15.985042,6.560331e-05
Feature_22235,15.984108,6.563547e-05
Feature_22529,15.983999,6.5639215e-05
Feature_21479,15.983871,6.5643624e-05
Feature_21313,15.983832,6.564497e-05
Feature_22571,15.982925,6.5676235e-05
Feature_21773,15.9828415,6.567913e-05
Feature_22277,15.982824,6.567972e-05
Feature_21267,15.982243,6.569978e-05
Feature_22109,15.9820595,6.5706095e-05
Feature_19161,15.981968,6.570926e-05
Feature_22067,15.981667,6.571966e-05
Feature_19077,15.981603,6.572186e-05
Feature_21731,15.98159,6.5722284e-05
Feature_18783,15.981536,6.572416e-05
Feature_21899,15.980869,6.574717e-05
Feature_21983,15.980626,6.5755565e-05
Feature_22361,15.979734,6.578636e-05
Feature_21397,15.979692,6.5787804e-05
Feature_22655,15.979676,6.5788365e-05
Feature_22403,15.979655,6.578909e-05
Feature_21225,15.979392,6.579818e-05
Feature_21689,15.978946,6.5813605e-05
Feature_21229,15.978807,6.581838e-05
Feature_21271,15.978794,6.5818844e-05
Feature_22193,15.978759,6.582006e-05
Feature_21355,15.978718,6.582148e-05
Feature_21815,15.97867,6.582313e-05
Feature_22487,15.978414,6.583199e-05
Feature_22445,15.978298,6.583598e-05
Feature_22025,15.9781275,6.584188e-05
Feature_22319,15.978065,6.5844055e-05
Feature_22613,15.977786,6.585369e-05
Feature_22151,15.977463,6.5864864e-05
Feature_21019,15.976341,6.590366e-05
Feature_20935,15.97497,6.595113e-05
Feature_21103,15.974894,6.595377e-05
Feature_19119,15.973974,6.5985616e-05
Feature_21239,15.97346,6.600343e-05
Feature_21145,15.971545,6.606982e-05
Feature_18951,15.97058,6.6103305e-05
Feature_20977,15.97,6.612344e-05
Feature_21481,15.968243,6.618448e-05
Feature_18867,15.967022,6.6226916e-05
Feature_21439,15.966808,6.6234345e-05
Feature_21523,15.966268,6.625315e-05
Feature_21565,15.966251,6.625371e-05
Feature_20929,15.965458,6.6281325e-05
Feature_21181,15.965081,6.629444e-05
Feature_19035,15.964324,6.63208e-05
Feature_18993,15.962912,6.637e-05
Feature_21691,15.962852,6.637209e-05
Feature_21649,15.961726,6.641132e-05
Feature_21139,15.9616,6.641571e-05
Feature_21607,15.959735,6.648079e-05
Feature_21013,15.957252,6.656753e-05
Feature_21097,15.955704,6.662166e-05
Feature_21197,15.953698,6.669185e-05
Feature_21071,15.952668,6.672793e-05
Feature_21055,15.952618,6.67297e-05
Feature_21183,15.948886,6.686058e-05
Feature_20971,15.948825,6.6862725e-05
Feature_20945,15.948721,6.686637e-05
Feature_21113,15.947403,6.691266e-05
Feature_21733,15.943716,6.7042325e-05
Feature_21985,15.943665,6.7044144e-05
Feature_21775,15.943439,6.70521e-05
Feature_20931,15.9427805,6.707527e-05
Feature_21029,15.942438,6.708733e-05
Feature_21057,15.940202,6.7166155e-05
Feature_20987,15.940167,6.716737e-05
Feature_22573,15.9397135,6.7183384e-05
Feature_21817,15.939415,6.719391e-05
Feature_22489,15.939166,6.7202694e-05
Feature_21155,15.937962,6.7245215e-05
Feature_22027,15.937286,6.726906e-05
Feature_21015,15.93724,6.727071e-05
Feature_20973,15.936689,6.729015e-05
Feature_22069,15.936053,6.731263e-05
Feature_22153,15.934948,6.7351706e-05
Feature_21141,15.934807,6.7356705e-05
Feature_22531,15.933728,6.739486e-05
Feature_21943,15.933623,6.739858e-05
Feature_22657,15.933485,6.740347e-05
Feature_22111,15.933119,6.741643e-05
Feature_22405,15.932697,6.7431356e-05
Feature_22615,15.931777,6.746395e-05
Feature_22321,15.931621,6.746949e-05
Feature_22363,15.931529,6.7472734e-05
Feature_22447,15.930681,6.7502784e-05
Feature_21901,15.930425,6.751187e-05
Feature_21099,15.930161,6.752121e-05
Feature_22237,15.92998,6.752763e-05
Feature_22195,15.929762,6.753537e-05
Feature_21859,15.928442,6.75822e-05
Feature_22279,15.927766,6.7606205e-05
Feature_1809,15.904584,6.843425e-05
Feature_18995,15.857755,7.013825e-05
Feature_19163,15.853696,7.028794e-05
Feature_20925,15.852615,7.032784e-05
Feature_20967,15.848474,7.048101e-05
Feature_18953,15.8442955,7.0635855e-05
Feature_21009,15.840471,7.077789e-05
Feature_18785,15.839396,7.081786e-05
Feature_21051,15.830359,7.1154835e-05
Feature_19121,15.827627,7.125703e-05
Feature_18869,15.822403,7.145286e-05
Feature_21093,15.818615,7.159518e-05
Feature_18911,15.818347,7.160526e-05
Feature_19037,15.814612,7.1745875e-05
Feature_19079,15.8068075,7.204065e-05
Feature_20921,15.799249,7.232729e-05
Feature_21135,15.791562,7.261996e-05
Feature_20963,15.790021,7.2678784e-05
Feature_21005,15.788264,7.274589e-05
Feature_21047,15.7875595,7.2772826e-05
Feature_20927,15.780548,7.3041396e-05
Feature_21177,15.778342,7.312609e-05
Feature_21089,15.767297,7.3551695e-05
Feature_21219,15.76387,7.3684234e-05
Feature_18827,15.763056,7.3715775e-05
Feature_20969,15.762574,7.373443e-05
Feature_1765,15.75973,7.384469e-05
Feature_21053,15.751079,7.4181145e-05
Feature_21011,15.749761,7.4232536e-05
Feature_21131,15.745285,7.440731e-05
Feature_2185,15.743879,7.4462296e-05
Feature_21261,15.743294,7.448521e-05
Feature_21095,15.735931,7.4773925e-05
Feature_20923,15.732426,7.49118e-05
Feature_21137,15.732269,7.491795e-05
Feature_21173,15.7321005,7.4924596e-05
Feature_20917,15.729807,7.5014956e-05
Feature_20959,15.7259035,7.516898e-05
Feature_21345,15.723773,7.5253185e-05
Feature_20965,15.722378,7.530838e-05
Feature_21303,15.722262,7.531294e-05
Feature_21179,15.721113,7.535844e-05
Feature_21215,15.717317,7.5508935e-05
Feature_21257,15.711345,7.574628e-05
Feature_21387,15.706312,7.5946875e-05
Feature_21001,15.704666,7.60126e-05
Feature_21007,15.703843,7.604548e-05
Feature_21221,15.703579,7.6056036e-05
Feature_21263,15.694584,7.641643e-05
Feature_21299,15.694561,7.6417346e-05
Feature_21429,15.691471,7.654154e-05
Feature_21049,15.691335,7.6547025e-05
Feature_21043,15.688674,7.665414e-05
Feature_21341,15.684317,7.6829885e-05
Feature_21471,15.682398,7.69074e-05
Feature_21513,15.681757,7.693331e-05
Feature_21091,15.681094,7.696012e-05
Feature_21555,15.677964,7.708682e-05
Feature_20919,15.676029,7.716526e-05
Feature_21085,15.6726265,7.730338e-05
Feature_21597,15.672557,7.730621e-05
Feature_21305,15.665696,7.758548e-05
Feature_21133,15.665171,7.7606914e-05
Feature_21347,15.66075,7.778743e-05
Feature_21383,15.658855,7.786494e-05
Feature_21639,15.656782,7.7949844e-05
Feature_20961,15.648282,7.8298894e-05
Feature_21127,15.648245,7.830042e-05
Feature_21681,15.647625,7.832594e-05
Feature_21425,15.6471195,7.8346755e-05
Feature_21723,15.644719,7.8445664e-05
Feature_21175,15.643064,7.8513964e-05
Feature_21389,15.640092,7.86367e-05
Feature_21807,15.638156,7.871677e-05
Feature_21003,15.637768,7.8732824e-05
Feature_21217,15.637258,7.875395e-05
Feature_21849,15.636902,7.876867e-05
Feature_21765,15.636718,7.87763e-05
Feature_21467,15.634347,7.887453e-05
Feature_22101,15.634263,7.887801e-05
Feature_21431,15.633772,7.8898374e-05
Feature_22017,15.633707,7.890107e-05
Feature_22521,15.631832,7.897887e-05
Feature_22437,15.631358,7.899855e-05
Feature_22353,15.631176,7.900612e-05
Feature_22269,15.630641,7.902834e-05
Feature_22563,15.630538,7.9032616e-05
Feature_21975,15.630222,7.904573e-05
Feature_21259,15.62903,7.9095276e-05
Feature_21933,15.628971,7.9097736e-05
Feature_22227,15.628959,7.909825e-05
Feature_22143,15.628938,7.9099125e-05
Feature_22479,15.628843,7.9103054e-05
Feature_22605,15.627636,7.915327e-05
Feature_22395,15.627107,7.91753e-05
Feature_22185,15.62554,7.924054e-05
Feature_22059,15.624919,7.926641e-05
Feature_22647,15.624454,7.92858e-05
Feature_21169,15.62431,7.92918e-05
Feature_22311,15.624046,7.930277e-05
Feature_21045,15.621641,7.94031e-05
Feature_21473,15.621039,7.9428224e-05
Feature_21509,15.619451,7.9494595e-05
Feature_21891,15.619219,7.950428e-05
Feature_21301,15.617702,7.956772e-05
Feature_21211,15.612477,7.9786536e-05
Feature_21087,15.608013,7.9974e-05
Feature_2145,15.607353,8.000175e-05
Feature_21551,15.603458,8.016573e-05
Feature_21343,15.601401,8.0252474e-05
Feature_21253,15.600084,8.0308055e-05
Feature_21515,15.59961,8.032807e-05
Feature_22649,15.599266,8.034261e-05
Feature_21767,15.597211,8.042946e-05
Feature_21851,15.592947,8.060996e-05
Feature_21557,15.592805,8.061599e-05
Feature_22187,15.592508,8.062855e-05
Feature_22061,15.59247,8.0630176e-05
Feature_22565,15.592143,8.064404e-05
Feature_22229,15.590989,8.069298e-05
Feature_22103,15.59056,8.071119e-05
Feature_22271,15.590462,8.0715356e-05
Feature_22607,15.590365,8.0719445e-05
Feature_22481,15.586159,8.0898164e-05
Feature_21893,15.585999,8.0904974e-05
Feature_21977,15.584541,8.096699e-05
Feature_21809,15.584456,8.0970596e-05
Feature_21593,15.584013,8.098948e-05
Feature_22019,15.583717,8.100207e-05
Feature_21677,15.582909,8.1036516e-05
Feature_21385,15.582526,8.1052814e-05
Feature_22397,15.581589,8.1092774e-05
Feature_21129,15.5809965,8.111802e-05
Feature_22355,15.579826,8.116794e-05
Feature_22523,15.579212,8.119416e-05
Feature_21635,15.578149,8.123957e-05
Feature_21295,15.577562,8.126462e-05
Feature_22145,15.577422,8.127061e-05
Feature_21935,15.577217,8.127937e-05
Feature_21427,15.577101,8.128434e-05
Feature_21599,15.576924,8.129189e-05
Feature_21641,15.575363,8.135864e-05
Feature_20943,15.57498,8.137504e-05
Feature_22313,15.574516,8.139487e-05
Feature_1621,15.572015,8.1501996e-05
Feature_22439,15.570177,8.158078e-05
Feature_21887,15.568429,8.1655795e-05
Feature_21171,15.567733,8.168569e-05
Feature_21683,15.565324,8.178922e-05
Feature_21719,15.564826,8.1810635e-05
Feature_22097,15.561956,8.1934166e-05
Feature_22391,15.561048,8.1973325e-05
Feature_22055,15.558194,8.2096405e-05
Feature_21845,15.557989,8.210525e-05
Feature_22265,15.557914,8.2108505e-05
Feature_21803,15.557893,8.2109415e-05
Feature_22349,15.557396,8.213087e-05
Feature_21511,15.557268,8.213639e-05
Feature_22307,15.557189,8.2139806e-05
Feature_22139,15.55627,8.217952e-05
Feature_21469,15.556206,8.218228e-05
Feature_21725,15.556112,8.218632e-05
Feature_22223,15.555824,8.219877e-05
Feature_21337,15.5549755,8.223546e-05
Feature_22475,15.554937,8.223711e-05
Feature_21971,15.554616,8.2251005e-05
Feature_22433,15.554438,8.2258724e-05
Feature_21553,15.552802,8.232949e-05
Feature_21761,15.552533,8.234114e-05
Feature_20985,15.552244,8.235365e-05
Feature_22181,15.552013,8.2363644e-05
Feature_22013,15.551035,8.2406026e-05
Feature_22559,15.546565,8.259994e-05
Feature_21929,15.545106,8.266334e-05
Feature_22517,15.544409,8.2693645e-05
Feature_21213,15.542556,8.2774255e-05
Feature_22643,15.541545,8.281827e-05
Feature_22601,15.541457,8.282209e-05
Feature_21027,15.539394,8.2911974e-05
Feature_21595,15.539353,8.2913764e-05
Feature_21637,15.534156,8.314069e-05
Feature_21111,15.527612,8.342729e-05
Feature_21721,15.523626,8.360231e-05
Feature_21763,15.52255,8.364966e-05
Feature_22645,15.521412,8.369972e-05
Feature_21069,15.520661,8.373277e-05
Feature_21679,15.519642,8.377767e-05
Feature_22183,15.519293,8.379305e-05
Feature_22141,15.5178585,8.385628e-05
Feature_22519,15.517828,8.385762e-05
Feature_21889,15.516122,8.393289e-05
Feature_22561,15.515896,8.394287e-05
Feature_22309,15.514643,8.39982e-05
Feature_22099,15.514094,8.402243e-05
Feature_21805,15.513928,8.4029765e-05
Feature_21379,15.513876,8.4032086e-05
Feature_22603,15.513549,8.4046536e-05
Feature_22267,15.51329,8.405796e-05
Feature_22351,15.513273,8.405872e-05
Feature_21255,15.512095,8.4110805e-05
Feature_22015,15.51192,8.411857e-05
Feature_22435,15.511225,8.4149324e-05
Feature_22477,15.5111,8.415485e-05
Feature_21931,15.5105715,8.417824e-05
Feature_21973,15.510227,8.419348e-05
Feature_21847,15.508665,8.4262676e-05
Feature_22393,15.50832,8.427798e-05
Feature_21153,15.508204,8.428309e-05
Feature_22057,15.507001,8.4336454e-05
Feature_22225,15.501775,8.4568564e-05
Feature_21297,15.500873,8.46087e-05
Feature_21421,15.4987135,8.470483e-05
Feature_21463,15.478883,8.559289e-05
Feature_21339,15.476894,8.5682455e-05
Feature_21195,15.472561,8.587797e-05
Feature_21381,15.464664,8.6235385e-05
Feature_21505,15.463585,8.6284366e-05
Feature_21423,15.448781,8.695886e-05
Feature_21507,15.445034,8.713043e-05
Feature_21237,15.444631,8.714892e-05
Feature_21465,15.437583,8.7472596e-05
Feature_21547,15.4353485,8.757547e-05
Feature_21549,15.426131,8.800113e-05
Feature_21591,15.424878,8.805916e-05
Feature_21589,15.4230995,8.814159e-05
Feature_21279,15.422139,8.8186134e-05
Feature_21631,15.4138,8.857384e-05
Feature_21673,15.404825,8.8993045e-05
Feature_21633,15.40367,8.904713e-05
Feature_21757,15.401747,8.913729e-05
Feature_21715,15.400052,8.9216795e-05
Feature_21675,15.398262,8.9300855e-05
Feature_21799,15.393881,8.950693e-05
Feature_22219,15.389066,8.973397e-05
Feature_22135,15.388207,8.97745e-05
Feature_22009,15.388068,8.9781075e-05
Feature_21925,15.387268,8.981888e-05
Feature_22093,15.386322,8.986359e-05
Feature_22345,15.386292,8.9864996e-05
Feature_22261,15.386087,8.987469e-05
Feature_22051,15.3847885,8.9936126e-05
Feature_21841,15.384448,8.995224e-05
Feature_21967,15.382714,9.003433e-05
Feature_21883,15.382425,9.004802e-05
Feature_22303,15.381957,9.007021e-05
Feature_22177,15.38082,9.012409e-05
Feature_21759,15.379437,9.018969e-05
Feature_22639,15.378397,9.0239075e-05
Feature_22471,15.378294,9.0243964e-05
Feature_22387,15.3768015,9.031486e-05
Feature_22555,15.376579,9.032542e-05
Feature_22513,15.37543,9.0380054e-05
Feature_22597,15.374867,9.0406815e-05
Feature_21885,15.374535,9.042265e-05
Feature_21717,15.3731575,9.048819e-05
Feature_22429,15.372385,9.0524976e-05
Feature_21321,15.371178,9.05825e-05
Feature_22431,15.370476,9.0615955e-05
Feature_22305,15.366634,9.0799294e-05
Feature_22095,15.366615,9.0800204e-05
Feature_22557,15.364075,9.092167e-05
Feature_21969,15.363939,9.0928144e-05
Feature_21801,15.363248,9.0961235e-05
Feature_22179,15.360979,9.106989e-05
Feature_22641,15.360062,9.1113856e-05
Feature_22515,15.359202,9.115506e-05
Feature_22473,15.357056,9.125809e-05
Feature_22347,15.354753,9.136875e-05
Feature_22137,15.354745,9.136911e-05
Feature_21843,15.354716,9.1370486e-05
Feature_21927,15.354395,9.138594e-05
Feature_22221,15.353226,9.144218e-05
Feature_22011,15.352661,9.146935e-05
Feature_22599,15.351556,9.152257e-05
Feature_22263,15.35103,9.1547874e-05
Feature_22053,15.350224,9.158675e-05
Feature_22389,15.347615,9.1712536e-05
Feature_19190,15.342139,9.197719e-05
Feature_19064,15.341154,9.2024886e-05
Feature_19148,15.340132,9.2074406e-05
Feature_18896,15.3394985,9.210509e-05
Feature_18812,15.339147,9.212215e-05
Feature_18854,15.338949,9.213172e-05
Feature_19022,15.338733,9.214221e-05
Feature_21363,15.335232,9.231212e-05
Feature_21405,15.334462,9.234952e-05
Feature_18938,15.333208,9.241048e-05
Feature_18871,15.332055,9.2466566e-05
Feature_18913,15.3303795,9.2548136e-05
Feature_19123,15.328535,9.263801e-05
Feature_19106,15.328017,9.266326e-05
Feature_19165,15.3268795,9.271875e-05
Feature_18980,15.326499,9.273732e-05
Feature_18836,15.326386,9.274281e-05
Feature_18794,15.325909,9.276613e-05
Feature_18997,15.324599,9.283008e-05
Feature_18920,15.32424,9.2847644e-05
Feature_19004,15.323771,9.287053e-05
Feature_18878,15.3223715,9.293897e-05
Feature_19138,15.320323,9.303922e-05
Feature_18962,15.319066,9.310078e-05
Feature_19046,15.318761,9.3115734e-05
Feature_19172,15.317146,9.319489e-05
Feature_19126,15.317052,9.319952e-05
Feature_18787,15.316475,9.322782e-05
Feature_19088,15.315938,9.3254166e-05
Feature_19130,15.315845,9.325875e-05
Feature_18832,15.315824,9.325978e-05
Feature_19192,15.3148,9.331002e-05
Feature_19170,15.314703,9.33148e-05
Feature_19002,15.314204,9.3339295e-05
Feature_18844,15.314153,9.334182e-05
Feature_18982,15.313414,9.3378134e-05
Feature_21489,15.312513,9.3422386e-05
Feature_19042,15.312273,9.34342e-05
Feature_19124,15.311991,9.3448085e-05
Feature_18916,15.311865,9.345428e-05
Feature_19096,15.311088,9.349251e-05
Feature_18780,15.310749,9.3509174e-05
Feature_18829,15.310569,9.351804e-05
Feature_19108,15.310195,9.3536444e-05
Feature_18822,15.31019,9.353668e-05
Feature_18958,15.309721,9.355978e-05
Feature_19150,15.309364,9.357734e-05
Feature_18886,15.3092375,9.3583585e-05
Feature_18955,15.309013,9.359462e-05
Feature_18918,15.30863,9.361351e-05
Feature_18898,15.308255,9.363198e-05
Feature_19174,15.307913,9.364885e-05
Feature_19013,15.307728,9.365797e-05
Feature_1979,15.307677,9.366046e-05
Feature_19084,15.307408,9.367372e-05
Feature_19128,15.307332,9.367748e-05
Feature_21447,15.30732,9.367809e-05
Feature_18834,15.307137,9.368712e-05
Feature_19066,15.307104,9.3688715e-05
Feature_18814,15.306878,9.369986e-05
Feature_19081,15.306868,9.370038e-05
Feature_19000,15.30659,9.3714065e-05
Feature_18956,15.306549,9.371609e-05
Feature_18876,15.306015,9.3742434e-05
Feature_18940,15.305731,9.3756455e-05
Feature_18856,15.305558,9.3764975e-05
Feature_19086,15.305137,9.378578e-05
Feature_18960,15.304924,9.3796276e-05
Feature_18874,15.304802,9.38023e-05
Feature_18792,15.303951,9.3844305e-05
Feature_19168,15.303857,9.384897e-05
Feature_18802,15.303754,9.3854054e-05
Feature_19012,15.303199,9.388148e-05
Feature_18796,15.302941,9.3894196e-05
Feature_19044,15.302814,9.390051e-05
Feature_18970,15.302378,9.3922055e-05
Feature_19074,15.301997,9.3940864e-05
Feature_19082,15.301962,9.394261e-05
Feature_19032,15.301232,9.3978684e-05
Feature_19054,15.301032,9.3988594e-05
Feature_18838,15.300818,9.399916e-05
Feature_18990,15.299759,9.405159e-05
Feature_18906,15.299481,9.4065326e-05
Feature_19006,15.298654,9.410632e-05
Feature_18948,15.298324,9.412266e-05
Feature_19180,15.298303,9.41237e-05
Feature_19024,15.297992,9.4139104e-05
Feature_18788,15.29794,9.414166e-05
Feature_18971,15.297674,9.415484e-05
Feature_21531,15.297666,9.4155264e-05
Feature_18790,15.297461,9.416543e-05
Feature_19132,15.297002,9.418816e-05
Feature_19166,15.296563,9.4209914e-05
Feature_19028,15.296188,9.42285e-05
Feature_18944,15.295986,9.423852e-05
Feature_18880,15.295768,9.424936e-05
Feature_18864,15.295696,9.42529e-05
Feature_18830,15.295542,9.426057e-05
Feature_18786,15.295349,9.427012e-05
Feature_19116,15.294885,9.429317e-05
Feature_19040,15.294813,9.429672e-05
Feature_19090,15.29447,9.4313764e-05
Feature_18902,15.294403,9.4317074e-05
Feature_18912,15.293971,9.4338524e-05
Feature_19048,15.293878,9.4343166e-05
Feature_19055,15.293675,9.43532e-05
Feature_18870,15.292947,9.438939e-05
Feature_18928,15.29253,9.44101e-05
Feature_18986,15.292376,9.4417774e-05
Feature_18828,15.292044,9.443427e-05
Feature_18914,15.291613,9.4455696e-05
Feature_18922,15.291311,9.447068e-05
Feature_18998,15.289922,9.453979e-05
Feature_18954,15.288838,9.459371e-05
Feature_18996,15.287983,9.4636314e-05
Feature_18872,15.287916,9.463964e-05
Feature_18800,15.287745,9.464814e-05
Feature_18968,15.287246,9.4673036e-05
Feature_19038,15.287182,9.467622e-05
Feature_19158,15.287169,9.467684e-05
Feature_19154,15.286204,9.472494e-05
Feature_18846,15.285669,9.4751624e-05
Feature_18964,15.285611,9.475452e-05
Feature_18845,15.284998,9.478511e-05
Feature_19112,15.284886,9.4790674e-05
Feature_19146,15.284514,9.4809235e-05
Feature_19020,15.284468,9.481156e-05
Feature_18842,15.2843,9.481994e-05
Feature_19070,15.283629,9.485341e-05
Feature_18803,15.283363,9.486669e-05
Feature_19139,15.283166,9.4876545e-05
Feature_18860,15.283022,9.488374e-05
Feature_18776,15.282775,9.489607e-05
Feature_18926,15.282662,9.49017e-05
Feature_19167,15.282648,9.490241e-05
Feature_19122,15.282176,9.492599e-05
Feature_19188,15.282007,9.4934425e-05
Feature_18848,15.281352,9.496717e-05
Feature_19100,15.2811,9.4979754e-05
Feature_19186,15.280718,9.4998875e-05
Feature_19039,15.280697,9.499992e-05
Feature_19080,15.279208,9.507439e-05
Feature_19184,15.278528,9.510842e-05
Feature_19062,15.27833,9.5118354e-05
Feature_19010,15.278246,9.512255e-05
Feature_18850,15.278095,9.51301e-05
Feature_18894,15.277912,9.5139265e-05
Feature_18806,15.277207,9.517457e-05
Feature_18810,15.276831,9.5193434e-05
Feature_18974,15.276285,9.522077e-05
Feature_18818,15.27585,9.524257e-05
Feature_19094,15.2755995,9.525514e-05
Feature_19104,15.275215,9.5274416e-05
Feature_19182,15.275202,9.5275085e-05
Feature_19140,15.275137,9.527834e-05
Feature_18888,15.274686,9.5300966e-05
Feature_19164,15.274296,9.532053e-05
Feature_19058,15.274236,9.532354e-05
Feature_19136,15.274207,9.532498e-05
Feature_18890,15.274185,9.532608e-05
Feature_18884,15.2737465,9.534809e-05
Feature_18978,15.272705,9.540037e-05
Feature_18936,15.272632,9.540406e-05
Feature_19014,15.272588,9.540626e-05
Feature_2251,15.272161,9.542772e-05
Feature_18852,15.2721,9.543074e-05
Feature_18932,15.271962,9.543769e-05
Feature_19052,15.271429,9.546447e-05
Feature_18804,15.270707,9.550075e-05
Feature_18999,15.270129,9.552981e-05
Feature_18784,15.270024,9.5535084e-05
Feature_19068,15.269153,9.557892e-05
Feature_19097,15.2684965,9.561194e-05
Feature_1707,15.268345,9.5619565e-05
Feature_18887,15.267746,9.564972e-05
Feature_18808,15.267522,9.5661e-05
Feature_18929,15.267234,9.56755e-05
Feature_18930,15.267204,9.5676995e-05
Feature_19016,15.266796,9.569755e-05
Feature_18831,15.265473,9.5764204e-05
Feature_19036,15.26526,9.577497e-05
Feature_19152,15.265018,9.578714e-05
Feature_19142,15.264919,9.579214e-05
Feature_18816,15.264589,9.580878e-05
Feature_19178,15.264556,9.581046e-05
Feature_18826,15.264179,9.5829455e-05
Feature_19083,15.263992,9.5838885e-05
Feature_19162,15.263698,9.585375e-05
Feature_18858,15.263431,9.5867224e-05
Feature_19056,15.263142,9.5881805e-05
Feature_18972,15.263082,9.588484e-05
Feature_19181,15.262883,9.589485e-05
Feature_2021,15.262504,9.5914016e-05
Feature_19098,15.262483,9.591507e-05
Feature_18942,15.26219,9.5929856e-05
Feature_19144,15.260805,9.59998e-05
Feature_19026,15.260612,9.6009586e-05
Feature_18900,15.26045,9.6017735e-05
Feature_18908,15.259279,9.607694e-05
Feature_18950,15.259139,9.6084026e-05
Feature_19110,15.258999,9.609112e-05
Feature_18984,15.258957,9.6093245e-05
Feature_18994,15.258651,9.610873e-05
Feature_18774,15.258081,9.613753e-05
Feature_19120,15.2578745,9.614801e-05
Feature_18782,15.257321,9.617601e-05
Feature_19060,15.25717,9.6183685e-05
Feature_21615,15.257091,9.6187694e-05
Feature_18915,15.25654,9.6215554e-05
Feature_19034,15.256117,9.6237e-05
Feature_18992,15.255677,9.6259275e-05
Feature_21573,15.255388,9.627392e-05
